time,measurement,field,value,application,batchId,configurationId,device,executionCounter,fstype,host,mode,path,projectId,userId
2026-08-12 13:09:20+00:00,disk,free,96918528000.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p1,1,ext4,ip-172-31-19-39,rw,/,ranking,benchANT
2026-08-12 13:09:20+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p15,1,vfat,ip-172-31-19-39,rw,/boot/efi,ranking,benchANT
2026-08-12 13:09:20+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p16,1,ext4,ip-172-31-19-39,rw,/boot,ranking,benchANT
2026-08-12 13:09:30+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,efivarfs,1,efivarfs,ip-172-31-19-39,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 13:09:30+00:00,disk,free,96917422080.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p1,1,ext4,ip-172-31-19-39,rw,/,ranking,benchANT
2026-08-12 13:09:30+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p15,1,vfat,ip-172-31-19-39,rw,/boot/efi,ranking,benchANT
2026-08-12 13:09:30+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p16,1,ext4,ip-172-31-19-39,rw,/boot,ranking,benchANT
2026-08-12 13:09:40+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,efivarfs,1,efivarfs,ip-172-31-19-39,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 13:09:40+00:00,disk,free,96914853888.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p1,1,ext4,ip-172-31-19-39,rw,/,ranking,benchANT
2026-08-12 13:09:40+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p15,1,vfat,ip-172-31-19-39,rw,/boot/efi,ranking,benchANT
2026-08-12 13:09:40+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p16,1,ext4,ip-172-31-19-39,rw,/boot,ranking,benchANT
2026-08-12 13:09:50+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,efivarfs,1,efivarfs,ip-172-31-19-39,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 13:09:50+00:00,disk,free,96910233600.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p1,1,ext4,ip-172-31-19-39,rw,/,ranking,benchANT
2026-08-12 13:09:50+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p15,1,vfat,ip-172-31-19-39,rw,/boot/efi,ranking,benchANT
2026-08-12 13:09:50+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p16,1,ext4,ip-172-31-19-39,rw,/boot,ranking,benchANT
2026-08-12 13:10:00+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,efivarfs,1,efivarfs,ip-172-31-19-39,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 13:10:00+00:00,disk,free,96904970240.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p1,1,ext4,ip-172-31-19-39,rw,/,ranking,benchANT
2026-08-12 13:10:00+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p15,1,vfat,ip-172-31-19-39,rw,/boot/efi,ranking,benchANT
2026-08-12 13:10:00+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p16,1,ext4,ip-172-31-19-39,rw,/boot,ranking,benchANT
2026-08-12 13:10:10+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,efivarfs,1,efivarfs,ip-172-31-19-39,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 13:10:10+00:00,disk,free,96894603264.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p1,1,ext4,ip-172-31-19-39,rw,/,ranking,benchANT
2026-08-12 13:10:10+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p15,1,vfat,ip-172-31-19-39,rw,/boot/efi,ranking,benchANT
2026-08-12 13:10:10+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,nvme0n1p16,1,ext4,ip-172-31-19-39,rw,/boot,ranking,benchANT
2026-08-12 13:10:20+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-xlarge-xlarge-aws,efivarfs,1,efivarfs,ip-172-31-19-39,rw,/sys/firmware/efi/efivars,ranking,benchANT
