time,measurement,field,value,application,batchId,configurationId,cpu,executionCounter,host,projectId,userId
2026-08-12 10:31:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:33:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:34:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu3,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu-total,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu0,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu1,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:35:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,cpu2,1,ip-172-31-29-153,ranking,benchANT
